stk.v.10.0
BEGIN IntervalList
"2019/01/13 19:30:13.250" "2019/01/13 19:30:13.450"
"2019/01/13 19:30:25.250" "2019/01/13 19:30:25.450"
"2019/01/13 19:30:37.250" "2019/01/13 19:30:37.450"
"2019/01/13 19:30:49.250" "2019/01/13 19:30:49.450"
"2019/01/13 19:31:01.250" "2019/01/13 19:31:01.450"
"2019/01/13 19:31:13.250" "2019/01/13 19:31:13.450"
"2019/01/13 19:31:25.250" "2019/01/13 19:31:25.450"
"2019/01/13 19:31:37.250" "2019/01/13 19:31:37.450"
"2019/01/13 19:31:49.250" "2019/01/13 19:31:49.450"
"2019/01/13 19:32:01.250" "2019/01/13 19:32:01.450"
"2019/01/13 19:32:13.250" "2019/01/13 19:32:13.450"
"2019/01/13 19:32:54.000" "2019/01/13 19:32:54.200"
"2019/01/13 19:33:06.000" "2019/01/13 19:33:06.200"
"2019/01/13 19:33:18.000" "2019/01/13 19:33:18.200"
"2019/01/13 19:33:30.000" "2019/01/13 19:33:30.200"
"2019/01/13 19:33:42.000" "2019/01/13 19:33:42.200"
"2019/01/13 19:33:54.000" "2019/01/13 19:33:54.200"
"2019/01/13 19:34:06.000" "2019/01/13 19:34:06.200"
"2019/01/13 19:34:18.000" "2019/01/13 19:34:18.200"
"2019/01/13 19:34:30.000" "2019/01/13 19:34:30.200"
"2019/01/13 19:34:42.000" "2019/01/13 19:34:42.200"
"2019/01/13 19:34:54.000" "2019/01/13 19:34:54.200"
"2019/01/13 19:35:06.000" "2019/01/13 19:35:06.200"
"2019/01/13 19:35:18.000" "2019/01/13 19:35:18.200"
"2019/01/13 19:35:30.000" "2019/01/13 19:35:30.200"
"2019/01/13 19:40:44.750" "2019/01/13 19:40:44.950"
"2019/01/13 19:40:56.750" "2019/01/13 19:40:56.950"
"2019/01/13 19:41:08.750" "2019/01/13 19:41:08.950"
"2019/01/13 19:41:20.750" "2019/01/13 19:41:20.950"
"2019/01/13 19:41:32.750" "2019/01/13 19:41:32.950"
"2019/01/13 19:41:44.750" "2019/01/13 19:41:44.950"
"2019/01/13 19:41:56.750" "2019/01/13 19:41:56.950"
"2019/01/13 19:42:08.750" "2019/01/13 19:42:08.950"
"2019/01/13 19:42:20.750" "2019/01/13 19:42:20.950"
"2019/01/13 19:42:32.750" "2019/01/13 19:42:32.950"
"2019/01/13 19:42:44.750" "2019/01/13 19:42:44.950"
"2019/01/13 19:42:56.750" "2019/01/13 19:42:56.950"
"2019/01/13 19:43:08.750" "2019/01/13 19:43:08.950"
"2019/01/13 19:43:20.750" "2019/01/13 19:43:20.950"
"2019/01/13 19:44:00.500" "2019/01/13 19:44:00.700"
"2019/01/13 19:44:12.500" "2019/01/13 19:44:12.700"
"2019/01/13 19:44:24.500" "2019/01/13 19:44:24.700"
"2019/01/13 19:44:36.500" "2019/01/13 19:44:36.700"
"2019/01/13 19:44:48.500" "2019/01/13 19:44:48.700"
"2019/01/13 19:45:00.500" "2019/01/13 19:45:00.700"
"2019/01/13 19:45:12.500" "2019/01/13 19:45:12.700"
"2019/01/13 19:45:24.500" "2019/01/13 19:45:24.700"
"2019/01/13 19:45:36.500" "2019/01/13 19:45:36.700"
"2019/01/13 19:45:48.500" "2019/01/13 19:45:48.700"
"2019/01/13 19:46:00.500" "2019/01/13 19:46:00.700"
"2019/01/13 19:46:12.500" "2019/01/13 19:46:12.700"
"2019/01/13 19:46:24.500" "2019/01/13 19:46:24.700"
"2019/01/13 19:46:36.500" "2019/01/13 19:46:36.700"
"2019/01/13 19:51:51.250" "2019/01/13 19:51:51.450"
"2019/01/13 19:52:03.250" "2019/01/13 19:52:03.450"
"2019/01/13 19:52:15.250" "2019/01/13 19:52:15.450"
"2019/01/13 19:52:27.250" "2019/01/13 19:52:27.450"
"2019/01/13 19:52:39.250" "2019/01/13 19:52:39.450"
"2019/01/13 19:52:51.250" "2019/01/13 19:52:51.450"
"2019/01/13 19:53:03.250" "2019/01/13 19:53:03.450"
"2019/01/13 19:53:15.250" "2019/01/13 19:53:15.450"
"2019/01/13 19:53:27.250" "2019/01/13 19:53:27.450"
"2019/01/13 19:53:39.250" "2019/01/13 19:53:39.450"
"2019/01/13 19:53:51.250" "2019/01/13 19:53:51.450"
"2019/01/13 19:54:03.250" "2019/01/13 19:54:03.450"
"2019/01/13 19:54:15.250" "2019/01/13 19:54:15.450"
"2019/01/13 19:54:27.250" "2019/01/13 19:54:27.450"
"2019/01/13 19:55:07.000" "2019/01/13 19:55:07.200"
"2019/01/13 19:55:19.000" "2019/01/13 19:55:19.200"
"2019/01/13 19:55:31.000" "2019/01/13 19:55:31.200"
"2019/01/13 19:55:43.000" "2019/01/13 19:55:43.200"
"2019/01/13 19:55:55.000" "2019/01/13 19:55:55.200"
"2019/01/13 19:56:07.000" "2019/01/13 19:56:07.200"
"2019/01/13 19:56:19.000" "2019/01/13 19:56:19.200"
"2019/01/13 19:56:31.000" "2019/01/13 19:56:31.200"
"2019/01/13 19:56:43.000" "2019/01/13 19:56:43.200"
"2019/01/13 19:56:55.000" "2019/01/13 19:56:55.200"
"2019/01/13 19:57:07.000" "2019/01/13 19:57:07.200"
"2019/01/13 19:57:19.000" "2019/01/13 19:57:19.200"
"2019/01/13 19:57:31.000" "2019/01/13 19:57:31.200"
"2019/01/13 19:57:43.000" "2019/01/13 19:57:43.200"
"2019/01/13 20:02:57.750" "2019/01/13 20:02:57.950"
"2019/01/13 20:03:09.750" "2019/01/13 20:03:09.950"
"2019/01/13 20:03:21.750" "2019/01/13 20:03:21.950"
"2019/01/13 20:03:33.750" "2019/01/13 20:03:33.950"
"2019/01/13 20:03:45.750" "2019/01/13 20:03:45.950"
"2019/01/13 20:03:57.750" "2019/01/13 20:03:57.950"
"2019/01/13 20:04:09.750" "2019/01/13 20:04:09.950"
"2019/01/13 20:04:21.750" "2019/01/13 20:04:21.950"
"2019/01/13 20:04:33.750" "2019/01/13 20:04:33.950"
"2019/01/13 20:04:45.750" "2019/01/13 20:04:45.950"
"2019/01/13 20:04:57.750" "2019/01/13 20:04:57.950"
"2019/01/13 20:05:09.750" "2019/01/13 20:05:09.950"
"2019/01/13 20:05:21.750" "2019/01/13 20:05:21.950"
"2019/01/13 20:05:33.750" "2019/01/13 20:05:33.950"
"2019/01/13 20:06:13.500" "2019/01/13 20:06:13.700"
"2019/01/13 20:06:25.500" "2019/01/13 20:06:25.700"
"2019/01/13 20:06:37.500" "2019/01/13 20:06:37.700"
"2019/01/13 20:06:49.500" "2019/01/13 20:06:49.700"
"2019/01/13 20:07:01.500" "2019/01/13 20:07:01.700"
"2019/01/13 20:07:13.500" "2019/01/13 20:07:13.700"
"2019/01/13 20:07:25.500" "2019/01/13 20:07:25.700"
"2019/01/13 20:07:37.500" "2019/01/13 20:07:37.700"
"2019/01/13 20:07:49.500" "2019/01/13 20:07:49.700"
"2019/01/13 20:08:01.500" "2019/01/13 20:08:01.700"
"2019/01/13 20:08:13.500" "2019/01/13 20:08:13.700"
"2019/01/13 20:08:25.500" "2019/01/13 20:08:25.700"
"2019/01/13 20:08:37.500" "2019/01/13 20:08:37.700"
"2019/01/13 20:08:49.500" "2019/01/13 20:08:49.700"
"2019/01/13 20:14:04.250" "2019/01/13 20:14:04.450"
"2019/01/13 20:14:16.250" "2019/01/13 20:14:16.450"
"2019/01/13 20:14:28.250" "2019/01/13 20:14:28.450"
"2019/01/13 20:14:40.250" "2019/01/13 20:14:40.450"
"2019/01/13 20:14:52.250" "2019/01/13 20:14:52.450"
"2019/01/13 20:15:04.250" "2019/01/13 20:15:04.450"
"2019/01/13 20:15:16.250" "2019/01/13 20:15:16.450"
"2019/01/13 20:15:28.250" "2019/01/13 20:15:28.450"
"2019/01/13 20:15:40.250" "2019/01/13 20:15:40.450"
"2019/01/13 20:15:52.250" "2019/01/13 20:15:52.450"
"2019/01/13 20:16:04.250" "2019/01/13 20:16:04.450"
"2019/01/13 20:16:16.250" "2019/01/13 20:16:16.450"
"2019/01/13 20:16:28.250" "2019/01/13 20:16:28.450"
"2019/01/13 20:16:40.250" "2019/01/13 20:16:40.450"
"2019/01/13 20:17:20.000" "2019/01/13 20:17:20.200"
"2019/01/13 20:17:32.000" "2019/01/13 20:17:32.200"
"2019/01/13 20:17:44.000" "2019/01/13 20:17:44.200"
"2019/01/13 20:17:56.000" "2019/01/13 20:17:56.200"
"2019/01/13 20:18:08.000" "2019/01/13 20:18:08.200"
"2019/01/13 20:18:20.000" "2019/01/13 20:18:20.200"
"2019/01/13 20:18:32.000" "2019/01/13 20:18:32.200"
"2019/01/13 20:18:44.000" "2019/01/13 20:18:44.200"
"2019/01/13 20:18:56.000" "2019/01/13 20:18:56.200"
"2019/01/13 20:19:08.000" "2019/01/13 20:19:08.200"
"2019/01/13 20:19:20.000" "2019/01/13 20:19:20.200"
"2019/01/13 20:19:32.000" "2019/01/13 20:19:32.200"
"2019/01/13 20:19:44.000" "2019/01/13 20:19:44.200"
"2019/01/13 20:19:56.000" "2019/01/13 20:19:56.200"
"2019/01/13 20:25:10.750" "2019/01/13 20:25:10.950"
"2019/01/13 20:25:22.750" "2019/01/13 20:25:22.950"
"2019/01/13 20:25:34.750" "2019/01/13 20:25:34.950"
"2019/01/13 20:25:46.750" "2019/01/13 20:25:46.950"
"2019/01/13 20:25:58.750" "2019/01/13 20:25:58.950"
"2019/01/13 20:26:10.750" "2019/01/13 20:26:10.950"
"2019/01/13 20:26:22.750" "2019/01/13 20:26:22.950"
"2019/01/13 20:26:34.750" "2019/01/13 20:26:34.950"
"2019/01/13 20:26:46.750" "2019/01/13 20:26:46.950"
"2019/01/13 20:26:58.750" "2019/01/13 20:26:58.950"
"2019/01/13 20:27:10.750" "2019/01/13 20:27:10.950"
"2019/01/13 20:27:22.750" "2019/01/13 20:27:22.950"
"2019/01/13 20:27:34.750" "2019/01/13 20:27:34.950"
"2019/01/13 20:27:46.750" "2019/01/13 20:27:46.950"
"2019/01/13 20:28:26.500" "2019/01/13 20:28:26.700"
"2019/01/13 20:28:38.500" "2019/01/13 20:28:38.700"
"2019/01/13 20:28:50.500" "2019/01/13 20:28:50.700"
"2019/01/13 20:29:02.500" "2019/01/13 20:29:02.700"
"2019/01/13 20:29:14.500" "2019/01/13 20:29:14.700"
"2019/01/13 20:29:26.500" "2019/01/13 20:29:26.700"
"2019/01/13 20:29:38.500" "2019/01/13 20:29:38.700"
"2019/01/13 20:29:50.500" "2019/01/13 20:29:50.700"
"2019/01/13 20:30:02.500" "2019/01/13 20:30:02.700"
"2019/01/13 20:30:14.500" "2019/01/13 20:30:14.700"
"2019/01/13 20:30:26.500" "2019/01/13 20:30:26.700"
"2019/01/13 20:30:38.500" "2019/01/13 20:30:38.700"
"2019/01/13 20:30:50.500" "2019/01/13 20:30:50.700"
"2019/01/13 20:31:02.500" "2019/01/13 20:31:02.700"
"2019/01/13 20:36:16.250" "2019/01/13 20:36:16.450"
"2019/01/13 20:36:28.250" "2019/01/13 20:36:28.450"
"2019/01/13 20:36:40.250" "2019/01/13 20:36:40.450"
"2019/01/13 20:36:52.250" "2019/01/13 20:36:52.450"
"2019/01/13 20:37:04.250" "2019/01/13 20:37:04.450"
"2019/01/13 20:37:16.250" "2019/01/13 20:37:16.450"
"2019/01/13 20:37:28.250" "2019/01/13 20:37:28.450"
"2019/01/13 20:37:40.250" "2019/01/13 20:37:40.450"
"2019/01/13 20:37:52.250" "2019/01/13 20:37:52.450"
"2019/01/13 20:38:04.250" "2019/01/13 20:38:04.450"
"2019/01/13 20:38:16.250" "2019/01/13 20:38:16.450"
"2019/01/13 20:38:28.250" "2019/01/13 20:38:28.450"
"2019/01/13 20:38:40.250" "2019/01/13 20:38:40.450"
"2019/01/13 20:38:52.250" "2019/01/13 20:38:52.450"
"2019/01/13 20:39:32.000" "2019/01/13 20:39:32.200"
"2019/01/13 20:39:44.000" "2019/01/13 20:39:44.200"
"2019/01/13 20:39:56.000" "2019/01/13 20:39:56.200"
"2019/01/13 20:40:08.000" "2019/01/13 20:40:08.200"
"2019/01/13 20:40:20.000" "2019/01/13 20:40:20.200"
"2019/01/13 20:40:32.000" "2019/01/13 20:40:32.200"
"2019/01/13 20:40:44.000" "2019/01/13 20:40:44.200"
"2019/01/13 20:40:56.000" "2019/01/13 20:40:56.200"
"2019/01/13 20:41:08.000" "2019/01/13 20:41:08.200"
"2019/01/13 20:41:20.000" "2019/01/13 20:41:20.200"
"2019/01/13 20:41:32.000" "2019/01/13 20:41:32.200"
"2019/01/13 20:41:44.000" "2019/01/13 20:41:44.200"
"2019/01/13 20:41:56.000" "2019/01/13 20:41:56.200"
"2019/01/13 20:42:08.000" "2019/01/13 20:42:08.200"
"2019/01/13 20:47:21.750" "2019/01/13 20:47:21.950"
"2019/01/13 20:47:33.750" "2019/01/13 20:47:33.950"
"2019/01/13 20:47:45.750" "2019/01/13 20:47:45.950"
"2019/01/13 20:47:57.750" "2019/01/13 20:47:57.950"
"2019/01/13 20:48:09.750" "2019/01/13 20:48:09.950"
"2019/01/13 20:48:21.750" "2019/01/13 20:48:21.950"
"2019/01/13 20:48:33.750" "2019/01/13 20:48:33.950"
"2019/01/13 20:48:45.750" "2019/01/13 20:48:45.950"
"2019/01/13 20:48:57.750" "2019/01/13 20:48:57.950"
"2019/01/13 20:49:09.750" "2019/01/13 20:49:09.950"
"2019/01/13 20:49:21.750" "2019/01/13 20:49:21.950"
"2019/01/13 20:49:33.750" "2019/01/13 20:49:33.950"
"2019/01/13 20:49:45.750" "2019/01/13 20:49:45.950"
"2019/01/13 20:49:57.750" "2019/01/13 20:49:57.950"
"2019/01/13 20:50:37.500" "2019/01/13 20:50:37.700"
"2019/01/13 20:50:49.500" "2019/01/13 20:50:49.700"
"2019/01/13 20:51:01.500" "2019/01/13 20:51:01.700"
"2019/01/13 20:51:13.500" "2019/01/13 20:51:13.700"
"2019/01/13 20:51:25.500" "2019/01/13 20:51:25.700"
"2019/01/13 20:51:37.500" "2019/01/13 20:51:37.700"
"2019/01/13 20:51:49.500" "2019/01/13 20:51:49.700"
"2019/01/13 20:52:01.500" "2019/01/13 20:52:01.700"
"2019/01/13 20:52:13.500" "2019/01/13 20:52:13.700"
"2019/01/13 20:52:25.500" "2019/01/13 20:52:25.700"
"2019/01/13 20:52:37.500" "2019/01/13 20:52:37.700"
"2019/01/13 20:52:49.500" "2019/01/13 20:52:49.700"
"2019/01/13 20:53:01.500" "2019/01/13 20:53:01.700"
"2019/01/13 20:53:13.500" "2019/01/13 20:53:13.700"
"2019/01/13 20:58:27.250" "2019/01/13 20:58:27.450"
"2019/01/13 20:58:39.250" "2019/01/13 20:58:39.450"
"2019/01/13 20:58:51.250" "2019/01/13 20:58:51.450"
"2019/01/13 20:59:03.250" "2019/01/13 20:59:03.450"
"2019/01/13 20:59:15.250" "2019/01/13 20:59:15.450"
"2019/01/13 20:59:27.250" "2019/01/13 20:59:27.450"
"2019/01/13 20:59:39.250" "2019/01/13 20:59:39.450"
"2019/01/13 20:59:51.250" "2019/01/13 20:59:51.450"
"2019/01/13 21:00:03.250" "2019/01/13 21:00:03.450"
"2019/01/13 21:00:15.250" "2019/01/13 21:00:15.450"
"2019/01/13 21:00:27.250" "2019/01/13 21:00:27.450"
"2019/01/13 21:00:39.250" "2019/01/13 21:00:39.450"
"2019/01/13 21:00:51.250" "2019/01/13 21:00:51.450"
"2019/01/13 21:01:03.250" "2019/01/13 21:01:03.450"
"2019/01/13 21:01:43.000" "2019/01/13 21:01:43.200"
"2019/01/13 21:01:55.000" "2019/01/13 21:01:55.200"
"2019/01/13 21:02:07.000" "2019/01/13 21:02:07.200"
"2019/01/13 21:02:19.000" "2019/01/13 21:02:19.200"
"2019/01/13 21:02:31.000" "2019/01/13 21:02:31.200"
"2019/01/13 21:02:43.000" "2019/01/13 21:02:43.200"
"2019/01/13 21:02:55.000" "2019/01/13 21:02:55.200"
"2019/01/13 21:03:07.000" "2019/01/13 21:03:07.200"
"2019/01/13 21:03:19.000" "2019/01/13 21:03:19.200"
"2019/01/13 21:03:31.000" "2019/01/13 21:03:31.200"
"2019/01/13 21:03:43.000" "2019/01/13 21:03:43.200"
"2019/01/13 21:03:55.000" "2019/01/13 21:03:55.200"
"2019/01/13 21:04:07.000" "2019/01/13 21:04:07.200"
"2019/01/13 21:04:19.000" "2019/01/13 21:04:19.200"
"2019/01/13 21:09:32.750" "2019/01/13 21:09:32.950"
"2019/01/13 21:09:44.750" "2019/01/13 21:09:44.950"
"2019/01/13 21:09:56.750" "2019/01/13 21:09:56.950"
"2019/01/13 21:10:08.750" "2019/01/13 21:10:08.950"
"2019/01/13 21:10:20.750" "2019/01/13 21:10:20.950"
"2019/01/13 21:10:32.750" "2019/01/13 21:10:32.950"
"2019/01/13 21:10:44.750" "2019/01/13 21:10:44.950"
"2019/01/13 21:10:56.750" "2019/01/13 21:10:56.950"
"2019/01/13 21:11:08.750" "2019/01/13 21:11:08.950"
"2019/01/13 21:11:20.750" "2019/01/13 21:11:20.950"
"2019/01/13 21:11:32.750" "2019/01/13 21:11:32.950"
"2019/01/13 21:11:44.750" "2019/01/13 21:11:44.950"
"2019/01/13 21:11:56.750" "2019/01/13 21:11:56.950"
"2019/01/13 21:12:08.750" "2019/01/13 21:12:08.950"
"2019/01/13 21:12:47.500" "2019/01/13 21:12:47.700"
"2019/01/13 21:12:59.500" "2019/01/13 21:12:59.700"
"2019/01/13 21:13:11.500" "2019/01/13 21:13:11.700"
"2019/01/13 21:13:23.500" "2019/01/13 21:13:23.700"
"2019/01/13 21:13:35.500" "2019/01/13 21:13:35.700"
"2019/01/13 21:13:47.500" "2019/01/13 21:13:47.700"
"2019/01/13 21:13:59.500" "2019/01/13 21:13:59.700"
"2019/01/13 21:14:11.500" "2019/01/13 21:14:11.700"
"2019/01/13 21:14:23.500" "2019/01/13 21:14:23.700"
"2019/01/13 21:14:35.500" "2019/01/13 21:14:35.700"
"2019/01/13 21:14:47.500" "2019/01/13 21:14:47.700"
"2019/01/13 21:14:59.500" "2019/01/13 21:14:59.700"
"2019/01/13 21:15:11.500" "2019/01/13 21:15:11.700"
"2019/01/13 21:15:23.500" "2019/01/13 21:15:23.700"
"2019/01/13 21:20:37.250" "2019/01/13 21:20:37.450"
"2019/01/13 21:20:49.250" "2019/01/13 21:20:49.450"
"2019/01/13 21:21:01.250" "2019/01/13 21:21:01.450"
"2019/01/13 21:21:13.250" "2019/01/13 21:21:13.450"
"2019/01/13 21:21:25.250" "2019/01/13 21:21:25.450"
"2019/01/13 21:21:37.250" "2019/01/13 21:21:37.450"
"2019/01/13 21:21:49.250" "2019/01/13 21:21:49.450"
"2019/01/13 21:22:01.250" "2019/01/13 21:22:01.450"
"2019/01/13 21:22:13.250" "2019/01/13 21:22:13.450"
"2019/01/13 21:22:25.250" "2019/01/13 21:22:25.450"
"2019/01/13 21:22:37.250" "2019/01/13 21:22:37.450"
"2019/01/13 21:22:49.250" "2019/01/13 21:22:49.450"
"2019/01/13 21:23:01.250" "2019/01/13 21:23:01.450"
"2019/01/13 21:23:13.250" "2019/01/13 21:23:13.450"
"2019/01/13 21:23:52.000" "2019/01/13 21:23:52.200"
"2019/01/13 21:24:04.000" "2019/01/13 21:24:04.200"
"2019/01/13 21:24:16.000" "2019/01/13 21:24:16.200"
"2019/01/13 21:24:28.000" "2019/01/13 21:24:28.200"
"2019/01/13 21:24:40.000" "2019/01/13 21:24:40.200"
"2019/01/13 21:24:52.000" "2019/01/13 21:24:52.200"
"2019/01/13 21:25:04.000" "2019/01/13 21:25:04.200"
"2019/01/13 21:25:16.000" "2019/01/13 21:25:16.200"
"2019/01/13 21:25:28.000" "2019/01/13 21:25:28.200"
"2019/01/13 21:25:40.000" "2019/01/13 21:25:40.200"
"2019/01/13 21:25:52.000" "2019/01/13 21:25:52.200"
"2019/01/13 21:26:04.000" "2019/01/13 21:26:04.200"
"2019/01/13 21:26:16.000" "2019/01/13 21:26:16.200"
"2019/01/13 21:26:28.000" "2019/01/13 21:26:28.200"
"2019/01/13 21:31:41.750" "2019/01/13 21:31:41.950"
"2019/01/13 21:31:53.750" "2019/01/13 21:31:53.950"
"2019/01/13 21:32:05.750" "2019/01/13 21:32:05.950"
"2019/01/13 21:32:17.750" "2019/01/13 21:32:17.950"
"2019/01/13 21:32:29.750" "2019/01/13 21:32:29.950"
"2019/01/13 21:32:41.750" "2019/01/13 21:32:41.950"
"2019/01/13 21:32:53.750" "2019/01/13 21:32:53.950"
"2019/01/13 21:33:05.750" "2019/01/13 21:33:05.950"
"2019/01/13 21:33:17.750" "2019/01/13 21:33:17.950"
"2019/01/13 21:33:29.750" "2019/01/13 21:33:29.950"
"2019/01/13 21:33:41.750" "2019/01/13 21:33:41.950"
"2019/01/13 21:33:53.750" "2019/01/13 21:33:53.950"
"2019/01/13 21:34:05.750" "2019/01/13 21:34:05.950"
"2019/01/13 21:34:17.750" "2019/01/13 21:34:17.950"
"2019/01/13 21:34:56.500" "2019/01/13 21:34:56.700"
"2019/01/13 21:35:08.500" "2019/01/13 21:35:08.700"
"2019/01/13 21:35:20.500" "2019/01/13 21:35:20.700"
"2019/01/13 21:35:32.500" "2019/01/13 21:35:32.700"
"2019/01/13 21:35:44.500" "2019/01/13 21:35:44.700"
"2019/01/13 21:35:56.500" "2019/01/13 21:35:56.700"
"2019/01/13 21:36:08.500" "2019/01/13 21:36:08.700"
"2019/01/13 21:36:20.500" "2019/01/13 21:36:20.700"
"2019/01/13 21:36:32.500" "2019/01/13 21:36:32.700"
"2019/01/13 21:36:44.500" "2019/01/13 21:36:44.700"
"2019/01/13 21:36:56.500" "2019/01/13 21:36:56.700"
"2019/01/13 21:37:08.500" "2019/01/13 21:37:08.700"
"2019/01/13 21:37:20.500" "2019/01/13 21:37:20.700"
"2019/01/13 21:37:32.500" "2019/01/13 21:37:32.700"
"2019/01/13 21:42:46.250" "2019/01/13 21:42:46.450"
"2019/01/13 21:42:58.250" "2019/01/13 21:42:58.450"
"2019/01/13 21:43:10.250" "2019/01/13 21:43:10.450"
"2019/01/13 21:43:22.250" "2019/01/13 21:43:22.450"
"2019/01/13 21:43:34.250" "2019/01/13 21:43:34.450"
"2019/01/13 21:43:46.250" "2019/01/13 21:43:46.450"
"2019/01/13 21:43:58.250" "2019/01/13 21:43:58.450"
"2019/01/13 21:44:10.250" "2019/01/13 21:44:10.450"
"2019/01/13 21:44:22.250" "2019/01/13 21:44:22.450"
"2019/01/13 21:44:34.250" "2019/01/13 21:44:34.450"
"2019/01/13 21:44:46.250" "2019/01/13 21:44:46.450"
"2019/01/13 21:44:58.250" "2019/01/13 21:44:58.450"
"2019/01/13 21:45:10.250" "2019/01/13 21:45:10.450"
"2019/01/13 21:45:22.250" "2019/01/13 21:45:22.450"
"2019/01/13 21:46:01.000" "2019/01/13 21:46:01.200"
"2019/01/13 21:46:13.000" "2019/01/13 21:46:13.200"
"2019/01/13 21:46:25.000" "2019/01/13 21:46:25.200"
"2019/01/13 21:46:37.000" "2019/01/13 21:46:37.200"
"2019/01/13 21:46:49.000" "2019/01/13 21:46:49.200"
"2019/01/13 21:47:01.000" "2019/01/13 21:47:01.200"
"2019/01/13 21:47:13.000" "2019/01/13 21:47:13.200"
"2019/01/13 21:47:25.000" "2019/01/13 21:47:25.200"
"2019/01/13 21:47:37.000" "2019/01/13 21:47:37.200"
"2019/01/13 21:47:49.000" "2019/01/13 21:47:49.200"
"2019/01/13 21:48:01.000" "2019/01/13 21:48:01.200"
"2019/01/13 21:48:13.000" "2019/01/13 21:48:13.200"
"2019/01/13 21:48:25.000" "2019/01/13 21:48:25.200"
"2019/01/13 21:48:37.000" "2019/01/13 21:48:37.200"
"2019/01/13 21:53:49.750" "2019/01/13 21:53:49.950"
"2019/01/13 21:54:01.750" "2019/01/13 21:54:01.950"
"2019/01/13 21:54:13.750" "2019/01/13 21:54:13.950"
"2019/01/13 21:54:25.750" "2019/01/13 21:54:25.950"
"2019/01/13 21:54:37.750" "2019/01/13 21:54:37.950"
"2019/01/13 21:54:49.750" "2019/01/13 21:54:49.950"
"2019/01/13 21:55:01.750" "2019/01/13 21:55:01.950"
"2019/01/13 21:55:13.750" "2019/01/13 21:55:13.950"
"2019/01/13 21:55:25.750" "2019/01/13 21:55:25.950"
"2019/01/13 21:55:37.750" "2019/01/13 21:55:37.950"
"2019/01/13 21:55:49.750" "2019/01/13 21:55:49.950"
"2019/01/13 21:56:01.750" "2019/01/13 21:56:01.950"
"2019/01/13 21:56:13.750" "2019/01/13 21:56:13.950"
"2019/01/13 21:56:25.750" "2019/01/13 21:56:25.950"
"2019/01/13 21:57:04.500" "2019/01/13 21:57:04.700"
"2019/01/13 21:57:16.500" "2019/01/13 21:57:16.700"
"2019/01/13 21:57:28.500" "2019/01/13 21:57:28.700"
"2019/01/13 21:57:40.500" "2019/01/13 21:57:40.700"
"2019/01/13 21:57:52.500" "2019/01/13 21:57:52.700"
"2019/01/13 21:58:04.500" "2019/01/13 21:58:04.700"
"2019/01/13 21:58:16.500" "2019/01/13 21:58:16.700"
"2019/01/13 21:58:28.500" "2019/01/13 21:58:28.700"
"2019/01/13 21:58:40.500" "2019/01/13 21:58:40.700"
"2019/01/13 21:58:52.500" "2019/01/13 21:58:52.700"
"2019/01/13 21:59:04.500" "2019/01/13 21:59:04.700"
"2019/01/13 21:59:16.500" "2019/01/13 21:59:16.700"
"2019/01/13 21:59:28.500" "2019/01/13 21:59:28.700"
"2019/01/13 21:59:40.500" "2019/01/13 21:59:40.700"
"2019/01/13 22:04:53.250" "2019/01/13 22:04:53.450"
"2019/01/13 22:05:05.250" "2019/01/13 22:05:05.450"
