# A dummy dataset with an xyz position and velocity components (vx vy vz) plus some random
# data columns. The last two columns has data values with either missing values or Nan
# values (which can be handled seprately when color mapping).
x,y,z,vx,vy,vz,a,b,normaldist_withMissing,number_withNan
-48191173,28549795,-5888248,384.298816,291.591286,-259.355915,63.636603,74.637307,0.084520,nan
2879385,-19301515,-36389489,-270.639636,257.801135,406.312355,-98.516653,54.116737,,nan
3148892,-717876,-328460,-489.333838,19.341287,317.039454,-47.066420,22.314274,,39
-47770824,-29130961,-9540523,-187.265789,-422.280285,405.154505,73.169310,7.050626,,7
-7308937,-39305408,7302023,255.415057,441.598134,387.701790,-33.587587,44.067700,0.188057,13
21279671,-13008191,3872213,-202.026313,346.716109,399.539645,-81.073337,168.723547,-0.090941,40
-13931229,-37272213,36493178,156.097689,28.773538,305.129276,86.925034,165.206302,0.061396,45
-46639221,47509893,-40485736,26.147666,220.337593,285.323751,93.180796,141.930657,-0.017261,6
15496903,-39375629,-49952566,-499.045520,-311.857298,404.227885,-13.056362,46.716301,,9
7809512,19352714,-24053660,20.792284,-167.252097,-94.265754,-5.782522,155.701086,-0.065977,20
3874837,41955250,30495686,-205.811947,-301.731330,-276.076299,76.602505,-177.476828,-0.088146,28
-34173624,-30705875,-23597256,115.910397,332.420243,-241.951781,-71.770736,165.588796,,nan
-33462458,-11734252,45864735,441.414344,-113.255076,-335.558018,-99.789859,-64.813881,-0.045959,28
-20576191,-31842590,41899626,-301.759886,40.523399,-349.478112,61.746730,90.733953,0.069886,8
38358871,-21996306,16877391,-73.561543,215.403485,-285.638123,15.591865,-103.527175,-0.008958,10
-25536522,38222525,41330301,319.535954,-160.623184,267.578438,56.987581,-108.802994,,21
49806198,29227021,-37539946,-480.556748,-84.897650,332.707866,-45.759454,133.893216,-0.108164,47
-47988798,16300721,14219372,-271.512260,-41.121521,-360.180304,96.231630,-53.536590,-0.157151,21
41193802,-16402880,38880400,-382.223112,-312.802665,-9.805347,-49.753069,-79.008067,-0.289635,32
-32557549,-35449520,-30997376,-378.239155,-281.458687,-299.869145,41.537501,164.341732,0.381397,4
42280471,7824530,-28728228,156.948033,403.159304,-43.573941,-20.776948,-155.422579,,24
-5451354,46780948,-12397126,347.772939,-78.571264,-81.075093,22.089476,-59.751274,0.150135,20
46090776,-7729570,-18001636,258.090292,-444.046971,-129.511311,-70.701972,-85.306850,,23
19605719,49833360,24748528,-150.358455,-230.094115,196.008912,-29.041287,-131.138070,-0.010772,23
26686815,8959404,2361299,245.554952,332.888043,-336.895756,-73.931418,-36.483508,,19
10530846,-10279780,-29366371,50.317845,451.538869,7.742447,-66.705476,131.789773,0.094470,0
47383974,45055096,-24719608,-73.268435,24.204150,123.256464,-79.707707,49.965567,-0.189542,15
39339176,-5534168,44302697,-338.186319,-407.568339,-24.389017,67.581422,-65.601119,-0.029754,20
-6475920,-33129298,-49715130,-326.764696,-178.543768,-2.186297,-20.692664,-142.398302,,41
-11301980,32046375,36007475,-416.660981,-100.149938,430.731563,34.355125,177.425867,-0.158692,35
37373376,-5946435,30728100,13.384656,-381.100744,-466.367614,-10.046599,172.581158,-0.038461,27
-10334373,20164625,48963010,340.763861,-421.537228,229.341740,80.207320,-25.205323,0.157087,23
40076843,16359249,-21707291,-101.639219,-72.390370,112.077287,61.949928,-35.016821,-0.336146,11
26139938,22111915,37324000,-285.986197,33.539890,243.963516,-82.360541,-51.703068,,50
-40692207,-32726220,37916701,-456.255686,338.902226,405.847497,-53.816295,-40.581237,,7
8207086,7184985,-38809785,205.813045,184.498681,-456.538122,52.791301,109.255725,0.088035,11
-11529573,-27698124,-49858678,-100.297455,-120.749039,-190.174607,-90.342061,-23.208672,-0.210641,41
-8354725,-15504988,-26428944,-193.439684,-91.675848,64.377688,83.440600,-136.023899,0.096367,48
34102794,-32883367,-30604284,-191.139342,134.727377,190.942420,-29.174862,-102.399595,-0.101827,7
47645002,-5574035,-6498640,-361.782440,52.689351,442.635191,50.700537,-62.838924,,nan
-17949457,16652065,-18276169,-67.663968,266.903142,-54.508772,48.785899,146.750978,0.097042,37
-33126871,-34994886,31211481,-176.778002,-455.707367,175.306682,28.079155,-101.668300,0.003861,21
21352124,-16659471,-43979561,-408.828034,207.191266,358.075311,25.994469,-117.183247,,25
15527876,-40543883,-45657582,237.957226,-281.064325,-252.396207,15.867568,127.170594,-0.313873,nan
-26847312,-408272,-47919834,-124.297028,312.603489,-298.975523,33.579233,49.088479,,38
34096745,14745333,6545067,193.239339,350.874639,226.763510,80.529787,23.810543,-0.154808,nan
41127903,46559930,5208480,325.532730,-84.369262,-444.336002,44.124624,-88.886889,,5
3095932,31888695,-29764947,198.513464,-173.723713,305.028368,-30.757204,-85.281786,0.056538,0
21941176,29902255,-6507681,-469.498408,340.719989,-112.303014,-33.748821,78.003183,0.107491,19
35063847,32343297,-42528018,-124.660572,-134.023064,44.776761,98.014376,88.194053,-0.149378,38
40207794,-16650116,-12419847,272.463011,243.042290,290.696936,6.298603,-171.781402,-0.172432,8
-1666989,529420,-37195780,-368.082765,-343.566536,39.756443,61.613346,57.549506,0.150405,47
11805271,-995177,33296109,37.788322,130.272966,-166.712562,77.440978,-48.455399,-0.214146,48
48135596,-44840473,-18500145,359.081633,279.611276,403.611920,27.090279,20.413328,0.317804,9
-10422339,40954949,-35168435,395.093489,181.465699,385.672435,-71.965259,89.766224,,20
12495292,5799606,-48334017,-66.464206,263.062090,492.597767,4.559450,-9.275258,0.230949,6
35313798,31733608,-11349104,-112.568431,-4.667974,129.915203,92.368170,-88.123824,0.074981,47
9578402,10153879,-21764642,145.392168,153.479484,417.856322,-46.050352,-69.571360,,46
-18010140,46369996,-44810032,-28.062572,80.935628,390.180888,58.281928,-79.249836,0.081987,28
11334505,36617298,-3957869,75.385490,-16.955576,-58.469093,-74.030187,148.020865,0.103790,nan
-47308903,-3630414,19488270,-455.844407,312.811775,-181.276014,-5.107151,-169.070487,-0.199625,37
18955351,-42025161,41764548,-303.223924,115.787384,-323.921819,86.989445,96.968891,,nan
-30235479,-3800713,-7087576,176.320618,-494.142173,-38.855258,-43.161505,-86.892606,-0.069795,50
33376617,36009139,49730579,-48.971720,402.916972,-155.515764,-2.768741,33.065388,0.155343,27
