# A dummy dataset with an xyz position and some random data columns.
# The last two columns has data values with either missing values or
# Nan values (which can be handled seprately when color mapping)
x,y,z,a,b,normaldist_withMissing,number_withNan
37336000,21742000,40982000,-15.69131418,134.6754731,0.078786176,15
35128000,38725000,25244000,2.279345664,34.91612867,0.091098807,44
30419000,33591000,39512000,-56.16030331,133.9105282,-0.590693487,8
18665000,11189000,45438000,-45.68302316,-85.35524485,0.046936859,26
15442000,36392000,16074000,81.4389588,-56.70945587,0.038804669,5
43378000,27900000,38748000,-74.35249265,-133.1884413,0.429053963,17
44424000,19982000,13528000,-81.19709235,49.49364675,0.115926289,47
42733000,15383000,28933000,75.17020088,-11.11330632,0.127627239,32
40144000,46822000,29588000,-81.25577073,-135.8002245,0.346061193,33
16927000,38232000,43931000,-80.97022269,157.7565432,-0.096039391,39
38910000,36030000,38003000,-37.79005665,-1.5474944,0.107402594,11
48340000,38510000,39290000,21.94846638,-112.6129615,0.230803493,3
17258000,45665000,27152000,80.73726495,-31.33714033,-0.079079307,10
48363000,39701000,11905000,11.83766221,-69.99777106,-0.002514692,3
27660000,29370000,26029000,8.179457229,147.7719143,-0.006520509,31
47106000,30527000,17038000,73.00898959,9.988869939,0.797492967,5
10471000,37521000,35398000,57.46145065,-29.5045034,-0.261313809,39
27774000,44082000,40036000,78.47974779,-4.998179635,0.437739286,24
46887000,20413000,36649000,51.11098102,-136.3276432,0.237434245,41
10093000,46706000,19187000,-58.41750426,-157.9933447,0.275586609,45
49093000,36514000,38499000,-55.41355694,150.177605,0.576467955,21
48945000,49826000,23225000,-63.91174083,-177.7191007,0.475443991,Nan
26852000,28926000,32243000,-77.854481,116.9006581,,1
34219000,34787000,30801000,-62.32990484,23.24232366,0.089523916,40
31075000,30369000,36898000,-77.78314619,38.69526825,-0.046423443,7
28135000,21412000,25552000,-7.411565773,-88.65122734,0.258690016,Nan
13347000,15980000,43094000,74.71054756,-37.32614369,,7
26928000,31159000,16653000,-32.74503199,146.7695347,0.576290488,34
12364000,14374000,43646000,28.70641859,-92.35199713,-0.059531367,16
38991000,49388000,48534000,56.70658222,8.014973542,-0.173400177,30
17180000,14935000,11680000,-45.39957586,102.5726701,0.16285705,1
27666000,29337000,44778000,89.4063742,-79.68068618,0.044140443,41
13660000,11108000,37986000,57.03349279,7.98684928,0.066242706,24
36910000,10252000,41657000,-9.906961203,21.79114496,-0.378241692,6
21785000,20095000,14903000,77.49612237,-84.68789002,-0.071118836,16
33363000,42124000,39814000,-64.47776113,-30.79591997,0.371115832,35
42758000,48892000,44762000,42.39782697,-32.55868099,-0.146011285,1
16590000,22098000,28515000,-36.90992927,-55.27481385,-0.203981239,27
26448000,45475000,33361000,64.22197115,146.6687002,-0.026210913,1
41182000,23927000,25075000,-81.55929754,137.9213773,0.042229126,10
49801000,15636000,39883000,-89.22857667,159.9681504,0.035529624,15
32725000,13037000,49874000,-55.17873101,61.01413612,0.519438664,43
31130000,16471000,41939000,-45.36963748,-156.5100924,0.245045969,22
19599000,37119000,26468000,-26.58523044,174.7731562,-0.210527713,22
30024000,23097000,14711000,44.31464407,150.7894846,-0.041347399,45
39567000,48586000,49391000,1.721781555,156.1687027,,31
46249000,28249000,32393000,-13.3221674,-176.0644697,-0.108879159,30
12180000,20488000,46288000,36.02858732,30.43526779,-0.099205446,47
29659000,40098000,45152000,72.15373455,62.01511311,,46
41026000,19309000,15845000,-38.63636224,145.9569745,-0.083266866,32
47146000,39852000,26666000,35.2426196,-33.97130609,-0.650089141,7
39958000,46945000,11789000,-68.31344333,172.4154216,0.001713968,37
25921000,13147000,22257000,-15.89505915,-150.39693,0.165178387,37
28892000,28329000,49094000,-58.72206735,-157.3776844,-0.228068143,48
29563000,48312000,45703000,86.78718085,179.1386066,-0.146072441,49
46127000,46582000,13462000,39.98033674,-164.152123,-0.081830298,17
23268000,24051000,48652000,-43.61767649,83.51428751,-0.106824408,45
22163000,26901000,28702000,51.04347167,169.7632117,0.052782471,31
46968000,17027000,25787000,-73.8664022,2.915300454,-0.028069047,22
24148000,44640000,15422000,8.379412685,101.9542853,-0.049339904,14
11566000,26486000,11735000,-36.78748293,-129.8960512,,Nan
11063000,38883000,16772000,-65.43894139,105.6607872,,7
43081000,16718000,45813000,-2.464830259,87.07999887,-0.24057898,40
